Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2018-08-25,Sunday,13:45,61.0,11017,17.2,3106,6.2,1120,14.5,2619,2.0,361,,,68.2,14123,18060
2018-08-25,Sunday,20:45,60.9,11084,22.0,4004,5.6,1019,11.5,2093,0.0,,,,82.9,15088,18200
2018-08-26,Monday,08:45,72.3,11058,18.7,2860,4.5,688,4.5,688,0.0,,,,91.0,13918,15294
2018-08-26,Monday,12:45,66.6,11066,19.8,3262,10.3,1709,2.4,396,1.2,192,,,86.4,14328,16625
2018-08-26,Monday,16:45,60.1,11047,20.0,3674,16.0,2948,2.5,466,1.3,238,,,80.1,14721,18373
2018-08-26,Monday,19:45,56.7,11062,23.3,4544,18.3,3575,1.4,285,0.3,56,,,80.0,15606,19522
2018-08-28,Tuesday,11:45,54.2,11006,16.4,3339,15.8,3209,12.3,2502,0.9,187,0.4,80,70.6,14345,20323
2018-08-28,Tuesday,15:45,50.5,11012,16.3,3548,21.5,4685,10.1,2209,1.1,238,0.5,108,66.8,14560,21800
2018-08-28,Tuesday,20:45,52.8,11114,21.5,4526,20.4,4295,4.7,995,0.0,,0.5,106,74.3,15640,21036
2018-08-29,Wednesday,07:45,66.8,11129,16.3,2712,6.4,1060,10.5,1748,0.0,,0.0,,83.1,13841,16649
2018-08-29,Wednesday,19:45,54.8,11112,20.4,4135,19.1,3875,5.2,1052,0.0,,0.4,81,75.2,15247,20255
2018-08-30,Thursday,07:45,71.8,11142,19.9,3090,5.5,846,2.7,415,0.0,,,,91.7,14232,15493
2018-08-30,Thursday,15:45,68.1,10902,19.8,3170,10.2,1629,0.5,77,0.9,142,0.5,80,87.9,14072,16000
2018-08-30,Thursday,20:45,63.6,10519,24.6,4072,9.6,1613,1.8,298,0.0,,0.2,28,88.2,14591,16530
2018-08-31,Friday,10:48,71.9,10537,19.4,2845,4.7,692,3.9,568,0.0,,0.2,22,91.3,13382,14664
